"CODIGO","DISCIPLINA","DEPARTAMENTO","TIPODEDISCIPLINA","SITUACAO","RESULTADORELATIVO"
1105365,"GEOLOGIA DO PETRÓLEO","UNID. ACAD. DE ENGENHARIA MECÂNICA","OPT",0,0
1107131,"QUÍMICA","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT",0,0
1107197,"TEEQ (ZEOLITAS)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT",0,0
1107225,"TE (INTRODUÇÃO À ENGENHARIA DO PETRÓLEO)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT",0,0
1107232,"QUÍMICA GERAL","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT",0,0
1107233,"TE (TECNOLOGIA DE GAS NATURAL)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT",0,0
1107252,"TE (INT. À COM. E EL. F. P. DE PETRÓLEO)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT",0,0
1108030,"FÍSICA GERAL I","UNID. ACAD. DE FÍSICA","OPT",0,0
1109010,"EQUACOES DIFERENCIAIS LINEARES","UNID. ACAD. DE MATEMÁTICA","OPT",0,0
1109105,"CALCULO DIFERENCIAL E INTEGRAL III","UNID. ACAD. DE MATEMÁTICA","OPT",0,0
1109106,"EQUACOES DIFERENCIAIS","UNID. ACAD. DE MATEMÁTICA","OPT",0,0
1113002,"DESENHO BASICO","UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO","OPT",0,0
1113019,"EXPRESSAO GRAFICA","UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO","OPT",0,0
1304012,"VOLEIBOL - MASC/FEM","UNID. ACAD. DE EDUCAÇÃO","OPT",0,0
1304123,"FUTSAL - FEM","UNID. ACAD. DE EDUCAÇÃO","OPT",0,0
1307045,"LINGUA PORTUGUESA","UNID. ACAD. DE LETRAS","OPT",0,0
1411208,"INTELIGÊNCIA ARTIFICIAL II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411212,"ORGAN. E ARQUITETURA DE COMPUTADORES II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411216,"PROGRAMAÇÃO FUNCIONAL","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411220,"SISTEMAS BASEADOS EM CONHECIMENTO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411224,"SISTEMAS MULTIMÍDIA","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411248,"TECC (SISTEMAS DE APOIO A DECISÃO II)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411251,"TECC(ALGORITMOS  AVANÇADOS IV)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411252,"TE (R. NEURAIS APL. À IND. DO PETRÓLEO)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411253,"TE(SIST INF GEOG APLIC SETOR PETR E GAS}","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411257,"TECC (INTRODUÇÃO À MECÂNICA QUÂNTICA)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
1411260,"TECC (INTRODUÇÃO À COMPUTAÇÃO QUÂNTICA)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",0,0
